Group,Minimum_bytes,Lower_Fence_bytes,Lower_Whisker_bytes,Q1_bytes,Median_bytes,Q3_bytes,Upper_Whisker_bytes,Upper_Fence_bytes,Maximum_bytes,IQR_bytes,N_Outliers
FA,167977680,167977680.0,167977680,168012000.0,168026796.0,168034880.0,168062336,168069200.0,168076064,22880.0,2
EFA,84421744,84181585.0,84421744,85209922.0,85611204.0,85895480.0,86528000,86923817.0,86528000,685558.0,0
