Scenario,Barangay_ID,Barangay_Name,Hazard_Level,FA_Allocated,FA_Ideal,EFA_Allocated,EFA_Ideal,FA_Solution_Quality,EFA_Solution_Quality,Percentage_Change
1,MASAMBONG,Brgy. Masambong,Low,236,5,153,5,46.2,29.6,-35.93
1,MATANDANG_BALARA,Brgy. Matandang Balara,Medium,429,70,281,70,5.13,3.01,-41.33
1,MILAGROSA,Brgy. Milagrosa,Medium,118,7,222,7,15.86,30.71,93.63
1,NAGKAISANG_NAYON,Brgy. Nagkaisang Nayon,Medium,319,54,498,54,4.91,8.22,67.41
1,NAYONG_KANLURAN,Brgy. Nayong Kanluran,Medium,182,3,34,3,59.67,10.33,-82.69
1,NEW_ERA,Brgy. New Era,None,0,0,0,0,1.0,1.0,0.0
1,NORTH_FAIRVIEW,Brgy. North Fairview,Medium,245,45,365,45,4.44,7.11,60.14
1,NOVALICHES_PROPER,Brgy. Novaliches Proper,Medium,308,16,136,16,18.25,7.5,-58.9
1,NS_AMORANTO,Brgy. N. S. Amoranto,Medium,199,6,68,6,32.17,10.33,-67.89
1,OBRERO,Brgy. Obrero,Medium,124,10,44,10,11.4,3.4,-70.18
1,OLD_CAPITOL_SITE,Brgy. Old Capitol Site,Low,54,1,99,1,53.0,98.0,84.91
1,PAANG_BUNDOK,Brgy. Paang Bundok,None,0,0,0,0,1.0,1.0,0.0
1,PAG_IBIG_SA_NAYON,Brgy. Pag-Ibig sa Nayon,Medium,88,6,109,6,13.67,17.17,25.6
1,PALIGSAHAN,Brgy. Paligsahan,Medium,163,4,151,4,39.75,36.75,-7.55
1,PALTOK,Brgy. Paltok,Medium,198,19,276,19,9.42,13.53,43.63
1,PANSOL,Brgy. Pansol,Medium,369,36,81,36,9.25,1.25,-86.49
1,PARAISO,Brgy. Paraiso,Medium,139,4,192,4,33.75,47.0,39.26
1,PASONG_PUTIK_PROPER,Brgy. Pasong Putik Proper,Medium,306,40,383,40,6.65,8.57,28.87
1,PASONG_TAMO,Brgy. Pasong Tamo,Medium,663,111,878,111,4.97,6.91,39.03
1,PAYATAS,Brgy. Payatas,Medium,552,140,582,140,2.94,3.16,7.48
1,PHILAM,Brgy. Philam,Low,37,2,182,2,17.5,90.0,414.29
1,PINAGKAISAHAN,Brgy. Pinagkaisahan,Medium,71,5,97,5,13.2,18.4,39.39
1,PINYAHAN,Brgy. Pinyahan,Low,116,11,223,11,9.55,19.27,101.78
1,PROJECT_6,Brgy. Project 6,Medium,210,12,182,12,16.5,14.17,-14.12
1,QUIRINO_2A,Brgy. Quirino 2-A,Medium,126,5,221,5,24.2,43.2,78.51
1,QUIRINO_2B,Brgy. Quirino 2-B,Medium,181,4,162,4,44.25,39.5,-10.73
1,QUIRINO_2C,Brgy. Quirino 2-C,Medium,194,4,141,4,47.5,34.25,-27.89
1,QUIRINO_3A,Brgy. Quirino 3-A,Medium,192,2,161,2,95.0,79.5,-16.32
1,QUIRINO_3B,Brgy. Quirino 3-B,None,0,0,0,0,1.0,1.0,0.0
1,RAMON_MAGSAYSAY,Brgy. Ramon Magsaysay,Low,85,8,194,8,9.63,23.25,141.43
1,ROXAS,Brgy. Roxas,Low,182,6,30,6,29.33,4.0,-86.36
1,SACRED_HEART,Brgy. Sacred Heart,Medium,242,7,20,7,33.57,1.86,-94.46
1,SAINT_IGNATIUS,Brgy. Saint Ignatius,Medium,78,3,89,3,25.0,28.67,14.68
1,SAINT_PETER,Brgy. Saint Peter,Low,15,3,77,3,4.0,24.67,516.75
1,SALVACION,Brgy. Salvacion,None,0,0,0,0,1.0,1.0,0.0
1,SANGANDAAN,Brgy. Sangandaan,Medium,184,22,209,22,7.36,8.5,15.49
1,SANTOL,Brgy. Santol,None,0,0,0,0,1.0,1.0,0.0
1,SAN_AGUSTIN,Brgy. San Agustin,Medium,367,26,163,26,13.12,5.27,-59.83
1,SAN_ANTONIO,Brgy. San Antonio,Medium,46,23,166,23,1.0,6.22,522.0
1,SAN_BARTOLOME,Brgy. San Bartolome,None,0,0,0,0,1.0,1.0,0.0
1,SAN_ISIDRO,Brgy. San Isidro,None,0,0,0,0,1.0,1.0,0.0
1,SAN_ISIDRO_LABRADOR,Brgy. San Isidro Labrador,Medium,159,7,97,7,21.71,12.86,-40.76
1,SAN_JOSE,Brgy. San Jose,Medium,86,6,92,6,13.33,14.33,7.5
1,SAN_MARTIN_DE_PORRES,Brgy. San Martin de Porres,None,0,0,0,0,1.0,1.0,0.0
1,SAN_ROQUE,Brgy. San Roque,Low,225,10,206,10,21.5,19.6,-8.84
1,SAN_VICENTE,Brgy. San Vicente,Medium,141,8,95,8,16.63,10.88,-34.58
1,SAUYO,Brgy. Sauyo,Medium,167,77,286,77,1.17,2.71,131.62
1,SIENA,Brgy. Siena,Medium,157,3,119,3,51.33,38.67,-24.66
1,SIKATUNA_VILLAGE,Brgy. Sikatuna Village,Medium,85,7,117,7,11.14,15.71,41.02
1,SILANGAN,Brgy. Silangan,Medium,78,5,57,5,14.6,10.4,-28.77
1,SOCORRO,Brgy. Socorro,Medium,314,23,239,23,12.65,9.39,-25.77
1,SOUTH_TRIANGLE,Brgy. South Triangle,Medium,144,15,213,15,8.6,13.2,53.49
