Scenario,Barangay_ID,Barangay_Name,Hazard_Level,FA_Allocated,FA_Ideal,EFA_Allocated,EFA_Ideal,FA_Solution_Quality,EFA_Solution_Quality,Percentage_Change
2,VALENCIA,Brgy. Valencia,Medium,64,11,307,11,4.82,26.91,458.3
2,VASRA,Brgy. Vasra,None,0,0,0,0,1.0,1.0,0.0
2,VETERANS_VILLAGE,Brgy. Veterans Village,Medium,186,13,176,13,13.31,12.54,-5.79
2,VILLA_MARIA_CLARA,Brgy. Villa Maria Clara,Low,121,2,13,2,59.5,5.5,-90.76
2,WEST_KAMIAS,Brgy. West Kamias,Medium,145,5,199,5,28.0,38.8,38.57
2,WEST_TRIANGLE,Brgy. West Triangle,Medium,97,3,111,3,31.33,36.0,14.91
2,WHITE_PLAINS,Brgy. White Plains,Medium,192,4,158,4,47.0,38.5,-18.09
3,ALICIA,Brgy. Alicia,Low,159,4,90,4,38.75,21.5,-44.52
3,AMIHAN,Brgy. Amihan,Low,162,2,111,2,80.0,54.5,-31.87
3,APOLONIO_SAMSON,Brgy. Apolonio Samson,Medium,367,34,185,34,9.79,4.44,-54.65
3,BAESA,Brgy. Baesa,None,0,0,0,0,1.0,1.0,0.0
3,BAGBAG,Brgy. Bagbag,Low,449,33,460,33,12.61,12.94,2.62
3,BAGONG_LIPUNAN_NG_CRAME,Brgy. Bagong Lipunan ng Crame,Medium,268,14,102,14,18.14,6.29,-65.33
3,BAGONG_PAG_ASA,Brgy. Bagong Pag-asa,Medium,116,30,309,30,2.87,9.3,224.04
3,BAGONG_SILANGAN,Brgy. Bagong Silangan,Medium,504,107,505,107,3.71,3.72,0.27
3,BAGUMBAYAN,Brgy. Bagumbayan,Medium,38,23,247,23,0.65,9.74,1398.46
3,BAGUMBUHAY,Brgy. Bagumbuhay,Medium,128,7,156,7,17.29,21.29,23.13
3,BAHAY_TORO,Brgy. Bahay Toro,None,0,0,0,0,1.0,1.0,0.0
3,BALINGASA,Brgy. Balingasa,Medium,234,20,126,20,10.7,5.3,-50.47
3,BALUMBATO,Brgy. Balumbato,Medium,16,7,119,7,1.29,16.0,1140.31
3,BATASAN_HILLS,Brgy. Batasan Hills,Medium,852,167,614,167,4.1,2.68,-34.63
3,BAYANIHAN,Brgy. Bayanihan,Low,174,1,140,1,173.0,139.0,-19.65
3,BLUE_RIDGE_A,Brgy. Blue Ridge A,Medium,25,2,33,2,11.5,15.5,34.78
3,BLUE_RIDGE_B,Brgy. Blue Ridge B,Low,162,1,118,1,161.0,117.0,-27.33
3,BOTOCAN,Brgy. Botocan,Medium,228,8,105,8,27.5,12.13,-55.89
3,BUNGAD,Brgy. Bungad,Low,75,4,230,4,17.75,56.5,218.31
3,CAMP_AGUINALDO,Brgy. Camp Aguinaldo,Low,54,2,147,2,26.0,72.5,178.85
3,CAPRI,Brgy. Capri,Medium,282,13,207,13,20.69,14.92,-27.89
3,CENTRAL,Brgy. Central,Medium,199,20,231,20,8.95,10.55,17.88
3,COMMONWEALTH,Brgy. Commonwealth,Medium,776,214,587,214,2.63,1.74,-33.84
3,CULIAT,Brgy. Culiat,Medium,367,68,205,68,4.4,2.01,-54.32
3,DAMAR,Brgy. Damar,Medium,36,1,126,1,35.0,125.0,257.14
3,DAMAYAN,Brgy. Damayan,Low,63,4,30,4,14.75,6.5,-55.93
3,DAMAYANG_LAGI,Brgy. Damayang Lagi,Low,171,10,45,10,16.1,3.5,-78.26
3,DEL_MONTE,Brgy. Del Monte,None,0,0,0,0,1.0,1.0,0.0
3,DIOQUINO_ZOBEL,Brgy. Dioquino Zobel,Low,190,1,139,1,189.0,138.0,-26.98
3,DONA_AURORA,Brgy. Dona Aurora,Low,149,3,69,3,48.67,22.0,-54.8
3,DONA_IMELDA,Brgy. Dona Imelda,Low,135,6,170,6,21.5,27.33,27.12
3,DONA_JOSEFA,Brgy. Dona Josefa,Medium,145,2,207,2,71.5,102.5,43.36
3,DON_MANUEL,Brgy. Don Manuel,Low,129,1,107,1,128.0,106.0,-17.19
3,DUYAN_DUYAN,Brgy. Duyan-Duyan,Low,62,1,167,1,61.0,166.0,172.13
3,EAST_KAMIAS,Brgy. East Kamias,Low,140,4,116,4,34.0,28.0,-17.65
3,ESCOBA_1,Brgy. Escopa 1,Low,97,2,202,2,47.5,100.0,110.53
3,ESCOBA_2,Brgy. Escopa 2,Medium,186,2,174,2,92.0,86.0,-6.52
3,ESCOBA_3,Brgy. Escopa 3,Low,73,4,164,4,17.25,40.0,131.88
3,ESCOBA_4,Brgy. Escopa 4,Medium,137,2,153,2,67.5,75.5,11.85
3,E_RODRIGUEZ,Brgy. E. Rodriguez,None,0,0,0,0,1.0,1.0,0.0
3,FAIRVIEW,Brgy. Fairview,Medium,206,62,263,62,2.32,3.24,39.66
3,GREATER_LAGRO,Brgy. Greater Lagro,Medium,93,24,304,24,2.88,11.67,305.21
3,GULOD,Brgy. Gulod,Medium,511,63,360,63,7.11,4.71,-33.76
3,HOLY_SPIRIT,Brgy. Holy Spirit,Low,543,56,247,56,8.7,3.41,-60.8
3,HORSESHOE,Brgy. Horseshoe,Medium,197,3,163,3,64.67,53.33,-17.54
3,IMMACULATE_CONCEPTION,Brgy. Immaculate Conception,Medium,220,9,191,9,23.44,20.22,-13.74
3,KALIGAYAHAN,Brgy. Kaligayahan,Medium,353,61,489,61,4.79,7.02,46.56
3,KALUSUGAN,Brgy. Kalusugan,Medium,110,5,132,5,21.0,25.4,20.95
3,KAMUNING,Brgy. Kamuning,Low,241,8,77,8,29.13,8.63,-70.37
3,KATIPUNAN,Brgy. Katipunan,Low,159,6,102,6,25.5,16.0,-37.25
3,KAUNLARAN,Brgy. Kaunlaran,Low,214,7,59,7,29.57,7.43,-74.87
3,KRISTONG_HARI,Brgy. Kristong Hari,Medium,110,7,225,7,14.71,31.14,111.69
3,KRUS_NA_LIGAS,Brgy. Krus na Ligas,Medium,126,22,179,22,4.73,7.14,50.95
3,LAGING_HANDA,Brgy. Laging Handa,None,0,0,0,0,1.0,1.0,0.0
3,LIBIS,Brgy. Libis,Medium,149,5,190,5,28.8,37.0,28.47
3,LOURDES,Brgy. Lourdes,Medium,155,5,107,5,30.0,20.4,-32.0
3,LOYOLA_HEIGHTS,Brgy. Loyola Heights,Low,209,11,180,11,18.0,15.36,-14.67
3,MAHARLIKA,Brgy. Maharlika,Medium,115,5,205,5,22.0,40.0,81.82
3,MALAYA,Brgy. Malaya,Low,134,2,115,2,66.0,56.5,-14.39
3,MANGGA,Brgy. Mangga,Medium,46,12,151,12,2.83,11.58,309.19
3,MANRESA,Brgy. Manresa,Medium,288,18,186,18,15.0,9.33,-37.8
3,MARIANA,Brgy. Mariana,Medium,73,12,285,12,5.08,22.75,347.83
3,MARIBLO,Brgy. Mariblo,Medium,143,4,160,4,34.75,39.0,12.23
3,MARILAG,Brgy. Marilag,Medium,219,13,130,13,15.85,9.0,-43.22
3,MASAGANA,Brgy. Masagana,Medium,51,5,196,5,9.2,38.2,315.22
3,MASAMBONG,Brgy. Masambong,None,0,0,0,0,1.0,1.0,0.0
3,MATANDANG_BALARA,Brgy. Matandang Balara,Medium,168,70,569,70,1.4,7.13,409.29
3,MILAGROSA,Brgy. Milagrosa,Medium,194,7,250,7,26.71,34.71,29.95
3,NAGKAISANG_NAYON,Brgy. Nagkaisang Nayon,Medium,393,54,65,54,6.28,0.2,-96.82
3,NAYONG_KANLURAN,Brgy. Nayong Kanluran,Medium,75,3,174,3,24.0,57.0,137.5
3,NEW_ERA,Brgy. New Era,Low,161,8,18,8,19.13,1.25,-93.47
3,NORTH_FAIRVIEW,Brgy. North Fairview,Low,440,23,231,23,18.13,9.04,-50.14
3,NOVALICHES_PROPER,Brgy. Novaliches Proper,Medium,194,16,177,16,11.13,10.06,-9.61
3,NS_AMORANTO,Brgy. N. S. Amoranto,Medium,111,6,206,6,17.5,33.33,90.46
3,OBRERO,Brgy. Obrero,Medium,186,10,208,10,17.6,19.8,12.5
3,OLD_CAPITOL_SITE,Brgy. Old Capitol Site,Medium,22,2,112,2,10.0,55.0,450.0
3,PAANG_BUNDOK,Brgy. Paang Bundok,Medium,127,5,65,5,24.4,12.0,-50.82
3,PAG_IBIG_SA_NAYON,Brgy. Pag-Ibig sa Nayon,Medium,13,6,216,6,1.17,35.0,2891.45
3,PALIGSAHAN,Brgy. Paligsahan,Medium,139,4,117,4,33.75,28.25,-16.3
3,PALTOK,Brgy. Paltok,Medium,285,19,6,19,14.0,-0.68,-104.86
3,PANSOL,Brgy. Pansol,Medium,109,36,88,36,2.03,1.44,-29.06
3,PARAISO,Brgy. Paraiso,Medium,190,4,100,4,46.5,24.0,-48.39
3,PASONG_PUTIK_PROPER,Brgy. Pasong Putik Proper,Low,311,20,516,20,14.55,24.8,70.45
3,PASONG_TAMO,Brgy. Pasong Tamo,Medium,433,111,489,111,2.9,3.41,17.59
3,PAYATAS,Brgy. Payatas,Medium,449,140,700,140,2.21,4.0,81.0
3,PHILAM,Brgy. Philam,Medium,160,3,137,3,52.33,44.67,-14.64
3,PINAGKAISAHAN,Brgy. Pinagkaisahan,Low,164,3,67,3,53.67,21.33,-60.26
3,PINYAHAN,Brgy. Pinyahan,Medium,36,22,114,22,0.64,4.18,553.12
3,PROJECT_6,Brgy. Project 6,Medium,230,12,244,12,18.17,19.33,6.38
3,QUIRINO_2A,Brgy. Quirino 2-A,Medium,182,5,71,5,35.4,13.2,-62.71
3,QUIRINO_2B,Brgy. Quirino 2-B,Medium,124,4,150,4,30.0,36.5,21.67
3,QUIRINO_2C,Brgy. Quirino 2-C,Medium,111,4,141,4,26.75,34.25,28.04
3,QUIRINO_3A,Brgy. Quirino 3-A,Medium,150,2,123,2,74.0,60.5,-18.24
3,QUIRINO_3B,Brgy. Quirino 3-B,Medium,108,4,186,4,26.0,45.5,75.0
3,RAMON_MAGSAYSAY,Brgy. Ramon Magsaysay,Medium,145,15,52,15,8.67,2.47,-71.51
3,ROXAS,Brgy. Roxas,Medium,65,11,168,11,4.91,14.27,190.63
3,SACRED_HEART,Brgy. Sacred Heart,Medium,148,7,87,7,20.14,11.43,-43.25
3,SAINT_IGNATIUS,Brgy. Saint Ignatius,Medium,52,3,110,3,16.33,35.67,118.43
3,SAINT_PETER,Brgy. Saint Peter,Medium,68,5,110,5,12.6,21.0,66.67
3,SALVACION,Brgy. Salvacion,Low,182,4,83,4,44.5,19.75,-55.62
3,SANGANDAAN,Brgy. Sangandaan,Medium,279,22,203,22,11.68,8.23,-29.54
3,SANTOL,Brgy. Santol,Medium,139,7,169,7,18.86,23.14,22.69
3,SAN_AGUSTIN,Brgy. San Agustin,Medium,327,26,329,26,11.58,11.65,0.6
3,SAN_ANTONIO,Brgy. San Antonio,None,0,0,0,0,1.0,1.0,0.0
3,SAN_BARTOLOME,Brgy. San Bartolome,Medium,190,52,34,52,2.65,-0.35,-113.21
3,SAN_ISIDRO,Brgy. San Isidro,Medium,154,7,109,7,21.0,14.57,-30.62
3,SAN_ISIDRO_LABRADOR,Brgy. San Isidro Labrador,Medium,40,7,167,7,4.71,22.86,385.35
3,SAN_JOSE,Brgy. San Jose,Medium,204,6,156,6,33.0,25.0,-24.24
3,SAN_MARTIN_DE_PORRES,Brgy. San Martin de Porres,Low,123,6,46,6,19.5,6.67,-65.79
3,SAN_ROQUE,Brgy. San Roque,Medium,85,20,153,20,3.25,6.65,104.62
3,SAN_VICENTE,Brgy. San Vicente,None,0,0,0,0,1.0,1.0,0.0
3,SAUYO,Brgy. Sauyo,Medium,267,77,333,77,2.47,3.32,34.41
3,SIENA,Brgy. Siena,Medium,76,3,153,3,24.33,50.0,105.51
3,SIKATUNA_VILLAGE,Brgy. Sikatuna Village,Medium,207,7,111,7,28.57,14.86,-47.99
3,SILANGAN,Brgy. Silangan,None,0,0,0,0,1.0,1.0,0.0
3,SOCORRO,Brgy. Socorro,Medium,237,23,176,23,9.3,6.65,-28.49
3,SOUTH_TRIANGLE,Brgy. South Triangle,Medium,229,15,204,15,14.27,12.6,-11.7
3,STA_CRUZ,Brgy. Sta. Cruz,Medium,85,4,173,4,20.25,42.25,108.64
3,STA_LUCIA,Brgy. Sta. Lucia,Medium,140,29,290,29,3.83,9.0,134.99
3,STA_MONICA,Brgy.  Sta. Monica,Medium,323,52,123,52,5.21,1.37,-73.7
3,STA_TERESITA,Brgy. Sta. Teresita,Medium,173,12,186,12,13.42,14.5,8.05
3,STO_CRISTO,Brgy. Sto. Cristo,Medium,134,26,157,26,4.15,5.04,21.45
3,STO_DOMINGO,Brgy. Sto. Domingo,Medium,293,12,190,12,23.42,14.83,-36.68
3,STO_NINO,Brgy. Sto. Nino,None,0,0,0,0,1.0,1.0,0.0
3,TAGUMPAY,Brgy. Tagumpay,Medium,186,3,182,3,61.0,59.67,-2.18
3,TALAYAN,Brgy. Talayan,Medium,158,5,222,5,30.6,43.4,41.83
3,TALIPAPA,Brgy. Talipapa,Medium,444,39,167,39,10.38,3.28,-68.4
3,TANDANG_SORA,Brgy. Tandang Sora,Low,92,42,247,42,1.19,4.88,310.08
3,TATALON,Brgy. Tatalon,Low,513,28,479,28,17.32,16.11,-6.99
3,TEACHERS_VILLAGE_EAST,Brgy. Teachers Village East,Low,155,2,110,2,76.5,54.0,-29.41
3,TEACHERS_VILLAGE_WEST,Brgy. Teachers Village West,Medium,151,3,85,3,49.33,27.33,-44.6
3,UGONG_NORTE,Brgy. Ugong Norte,Medium,34,7,78,7,3.86,10.14,162.69
3,UNANG_SIGAW,Brgy. Unang Sigaw,Low,172,4,158,4,42.0,38.5,-8.33
3,UP_CAMPUS,Brgy. UP Campus,Medium,179,48,286,48,2.73,4.96,81.68
3,UP_VILLAGE,Brgy. UP Village,Medium,59,4,164,4,13.75,40.0,190.91
3,VALENCIA,Brgy. Valencia,Medium,147,11,169,11,12.36,14.36,16.18
3,VASRA,Brgy. Vasra,Medium,126,8,185,8,14.75,22.13,50.03
3,VETERANS_VILLAGE,Brgy. Veterans Village,Low,67,7,292,7,8.57,40.71,375.03
3,VILLA_MARIA_CLARA,Brgy. Villa Maria Clara,Low,40,2,154,2,19.0,76.0,300.0
3,WEST_KAMIAS,Brgy. West Kamias,Medium,123,5,224,5,23.6,43.8,85.59
3,WEST_TRIANGLE,Brgy. West Triangle,Medium,176,3,39,3,57.67,12.0,-79.19
3,WHITE_PLAINS,Brgy. White Plains,Medium,165,4,185,4,40.25,45.25,12.42
