Group,Minimum,Lower_Fence,Lower_Whisker,Q1,Median,Q3,Upper_Whisker,Upper_Fence,Maximum,IQR,N_Outliers
FA,2.247308,2.2134157499999993,2.247308,2.2743765,2.2950049999999997,2.315017,2.348135,2.3759777500000006,2.348135,0.0406405000000003,0
EFA,2.307124,2.3108868749999996,2.320674,2.34018975,2.3473065,2.359725,2.386512,2.389027875,2.42589,0.019535250000000115,2
