Metric,Value
N_Samples,30
FA_Mean_ms,5395.890666666667
FA_StdDev_ms,65.19165918372101
FA_Variance_ms²,4249.952427126436
EFA_Mean_ms,5740.175333333334
EFA_StdDev_ms,53.70782995207431
EFA_Variance_ms²,2884.5309981609307
Mean_Difference_ms,-344.28466666666657
Diff_StdDev_ms,87.11366743131265
Diff_Variance_ms²,7588.791053333343
Standard_Error_ms,15.904706906377687
t_Statistic,-21.646715572520897
p_Value,1.9029586939803344e-19
Significant,Yes
Alpha_Level,0.01
