Group,Minimum_ms,Lower_Fence_ms,Lower_Whisker_ms,Q1_ms,Median_ms,Q3_ms,Upper_Whisker_ms,Upper_Fence_ms,Maximum_ms,IQR_ms,N_Outliers
FA,5179.51,5231.182499999999,5289.45,5358.2625,5401.0650000000005,5442.9825,5480.23,5570.0625,5480.23,84.72000000000025,1
EFA,5621.46,5573.621249999998,5621.46,5703.014999999999,5726.745,5789.2775,5833.21,5918.671250000001,5833.21,86.26250000000073,0
